Year;Month;Day;Gage_1;Gage_3;Gage_4;Gage_5;Gage_7;Gage_8;Gage_45;Gage_46;Gage_56;Gage_57;Gage_58;Gage_59;Gage_62;Gage_63;Gage_72
1982;9;3;0.00;0.51;0.25;0.51;1.02;0.51;1.27;2.29;2.79;1.78;2.54;3.30;3.05;3.05;2.79
1982;9;7;0.76;0.51;0.00;1.27;0.51;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;9;8;8.13;7.37;7.87;8.64;9.14;8.38;4.83;4.57;4.83;4.32;4.57;5.33;12.70;4.06;4.57
1982;9;10;25.91;25.65;25.40;17.02;24.89;30.48;13.72;14.48;15.75;13.97;19.05;19.30;18.29;14.22;14.99
1982;9;11;6.86;8.89;8.64;15.49;13.97;15.49;28.96;36.58;39.37;29.72;26.16;25.65;25.40;24.38;32.51
1982;9;18;0.00;0.00;0.00;0.00;0.00;0.00;4.83;1.78;0.51;1.78;0.00;0.76;0.00;0.00;0.00
1982;11;9;0.00;0.00;6.86;0.00;0.00;0.00;0.00;10.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;11;10;0.00;0.00;1.27;0.00;0.00;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;11;11;0.00;0.00;3.05;0.00;0.00;0.00;0.00;2.29;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;11;17;0.00;0.00;1.78;0.00;0.00;0.00;0.00;2.79;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;11;18;0.00;0.00;1.78;0.00;0.00;0.00;0.00;1.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;11;24;0.00;0.00;1.27;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;11;25;0.00;0.00;2.29;0.00;0.00;0.00;0.00;4.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;11;26;0.00;0.00;0.51;0.00;0.00;0.00;0.00;2.54;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;11;30;0.00;0.00;10.92;0.00;0.00;0.00;0.00;11.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;12;1;0.00;0.00;12.19;0.00;0.00;0.00;0.00;18.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;12;8;0.00;0.00;1.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;12;9;0.00;0.00;5.33;0.00;0.00;0.00;0.00;9.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;12;10;0.00;0.00;19.05;0.00;0.00;0.00;0.00;21.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;12;23;0.00;0.00;6.60;0.00;0.00;0.00;0.00;6.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;12;30;0.00;0.00;1.27;0.00;0.00;0.00;0.00;1.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1982;12;31;0.00;0.00;14.48;0.00;0.00;0.00;0.00;14.73;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;1;19;0.00;0.00;3.56;0.00;0.00;0.00;0.00;1.52;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;1;20;0.00;0.00;5.59;0.00;0.00;0.00;0.00;4.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;1;27;0.00;0.00;4.57;0.00;0.00;0.00;0.00;6.35;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;1;28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;1;29;0.00;0.00;9.91;0.00;0.00;0.00;0.00;14.48;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;1;30;0.00;0.00;18.29;0.00;0.00;0.00;0.00;22.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;2;3;0.00;0.00;26.67;0.00;0.00;0.00;0.00;30.23;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;2;4;0.00;0.00;4.83;0.00;0.00;0.00;0.00;3.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;2;5;0.00;0.00;3.56;0.00;0.00;0.00;0.00;3.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;2;6;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;2;8;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;3;2;0.00;0.00;1.02;0.00;0.00;0.00;0.00;1.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;3;3;0.00;0.00;14.48;0.00;0.00;0.00;0.00;13.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;3;4;0.00;0.00;7.87;0.00;0.00;0.00;0.00;8.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;3;14;0.00;0.00;1.52;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;3;15;0.00;0.00;1.52;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;3;19;0.00;0.00;9.40;0.00;0.00;0.00;0.00;13.97;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;3;25;0.00;0.00;3.30;0.00;0.00;0.00;0.00;11.68;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;3;26;0.00;0.00;2.79;0.00;0.00;0.00;0.00;2.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;4;5;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;4;6;0.00;0.00;2.79;0.00;0.00;0.00;0.00;3.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;4;12;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;5;28;0.00;0.00;3.56;0.00;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;7;5;0.25;1.02;0.51;0.00;0.00;0.00;0.00;0.76;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;7;6;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1983;7;7;9.40;0.00;0.00;1.02;0.00;0.00;2.54;3.30;3.05;3.81;1.78;1.52;4.57;3.81;4.06
1983;7;8;7.62;7.62;4.83;9.65;4.32;9.65;7.37;6.10;6.86;8.64;7.11;5.84;16.26;7.87;9.91
1983;7;9;1.27;0.25;1.02;0.76;0.25;0.25;0.51;0.51;0.76;0.25;0.51;0.51;0.51;0.51;0.25
1983;7;10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.51;0.00;0.51;7.37;5.84;0.51;2.79;0.00
1983;7;11;0.51;0.51;18.80;12.19;19.56;25.15;9.91;7.37;1.78;4.06;6.10;2.79;3.81;2.54;2.03
1983;7;14;1.02;0.00;5.08;1.02;4.06;5.08;3.05;2.03;2.79;3.05;4.32;6.35;4.06;5.33;3.56
1983;7;15;0.76;0.00;1.78;1.52;0.00;1.78;0.00;0.00;0.00;0.00;0.76;1.27;0.00;0.00;0.00
1983;7;17;1.27;0.00;0.00;1.27;0.51;1.02;0.00;0.00;0.00;0.51;0.00;0.00;0.00;0.00;0.00
